nl,code,utils
"Find files/directories named 'sar' under '/usr', '/bin', '/sbin' and '/opt' directory tree",find arg -name arg,find
" reduce memory usage, for compression, set the block size to and pattern-directed scanning and processing language",bzip2 -1 --small | awk,bzip2 awk
display a tree of processes highlighting or if neither the implicitly disables compaction. and output the first part of files print the first num bytes print the first num lines always print headers giving file,pstree -h -p | head -c -Quantity -v,pstree head
"Print the directory name of the real full path of ""relative/path/to/file"" where each symbolic link component must exist",dirname $( readlink -e arg ),readlink dirname
file perusal filter for crt viewing of compressed text,zless,zless
"print calendar print the number of the specified on the command line. display the previous, current and use <u>yyyy-mm</u> as the current",cal -3 -DateTime -y DateTime,cal
"search the word ""MySearchStr"" in all the regular/normal files in the current folder and display the line number and the file name",find arg -type f -print0 |,find xargs
report free disk space scale sizes by size before like <b>--block-size</b>=<u>1k</u> use the posix output format limit listing to file systems and pattern-directed scanning and processing language,df -B Size -P -k -x ARG | awk,awk df
Execute /usr/bin/find with $* arguments,find arg,find
"read from standard input and write to standard output and files append to the given files, ignore interrupt signals diagnose errors writing to non",tee -a arg --ignore-interrupts,tee
"report or omit repeated lines only print duplicate lines, one and columnate lists whitespace, by default, or with using the <b>-t</b> option; this do not ignore empty lines.",uniq -d | column -e -n -t,uniq column
"Edit the cron job list for user 'wwwrun' using default editor specified by the EDITOR environment variable, or /usr/bin/editor if no default editor is specified.",crontab -u arg -e,crontab
delay for a specified amount of time output version information and exit,sleep --version Timespan,sleep
" and  invert the sense of matching,",shopt | grep --invert-match arg,grep shopt
set or unset options and positional parameters,set,set
concatenate files and print on the standard output display $ at end of suppress repeated empty output lines,cat -s --show-ends,cat
output the last part of files never output headers giving file keep trying to open a,tail --quiet --retry,tail
return true value,true,true
make links between files make a backup of each prompt whether to remove destinations,ln --backup ARG --interactive arg arg arg,ln
"dump files in various formats same as <b>-t</b> o1, select and remove sections from each line of files select only these fields; also do not print lines not",od -b | cut --fields arg --only-delimited,od cut
run jobs in the background,bg,bg
pattern scanning and processing language,awk,awk
find all files named `linux' on the system,find arg -name arg,find
Print the second space separated fields from standard input,tr -s arg | cut -d,tr cut
compress or expand files write output on standard output; display the <u>gzip</u> license and suppress all warnings.,gunzip arg --license --stdout,gunzip
remove directories ignore each failure that is remove directory and its ancestors;,rmdir --ignore-fail-on-non-empty --parents arg,rmdir
strip file name affixes support multiple arguments and treat remove a trailing suffix; implies and translate or delete characters replace each sequence of a first truncate set1 to length,basename -a --suffix arg | tr -t --squeeze-repeats,basename tr
" force decompression. <u>bzip2,</u> <u>bunzip2</u> and check integrity of the specified",bzip2 -d --test,bzip2
reverse lines characterwise display help text and exit.,rev -h,rev
move files make a backup of each prompt before overwrite,mv --backup ARG --interactive arg,mv
"Change owner to ""root"" and group to ""wheel"" of ""bin""",chown arg arg,chown
display status of jobs in the current session,jobs,jobs
run a program in a modified environment start with an empty environment end each output line with remove variable from the environment,env -i -u arg --null,env
" ignore case distinctions, so that skip any command-line file with",grep --exclude arg --ignore-case arg,grep
Find all *.mp3 (case insensitive) files/directories under /tmp and remove them,find arg -iname arg -print0 |,find xargs rm
Search the /myfiles directory tree for regular files with at least these permissions: 647,find arg -type f -perm -Permission,find
Print A record for domain 'domain.' from 'ns2.newnameserver' nameserver,dig arg a,dig
